NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	6.66038e-07	 | Aver Time (ms):	0.321156	 | Aver Iters:	66.013
Residual:	6.66038e-07	 | Aver Time (ms):	0.319088	 | Aver Iters:	66.0132
Residual:	4.90113e-07	 | Aver Time (ms):	0.326418	 | Aver Iters:	67.0132
Residual:	4.90113e-07	 | Aver Time (ms):	0.323260	 | Aver Iters:	67.0134
Residual:	3.62504e-07	 | Aver Time (ms):	0.330932	 | Aver Iters:	68.0134
Residual:	2.05808e-07	 | Aver Time (ms):	0.337549	 | Aver Iters:	70.0136
Residual:	9.21982e-08	 | Aver Time (ms):	0.355047	 | Aver Iters:	73.014
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	9.21982e-08	 | Aver Time (ms):	0.359406	 | Aver Iters:	73
Residual:	7.08572e-08	 | Aver Time (ms):	0.364777	 | Aver Iters:	74.0146
Residual:	7.08572e-08	 | Aver Time (ms):	0.361091	 | Aver Iters:	74.0148
Residual:	5.40187e-08	 | Aver Time (ms):	0.369867	 | Aver Iters:	75.0148
Residual:	4.08e-08	 | Aver Time (ms):	0.371246	 | Aver Iters:	76.015
Residual:	3.04764e-08	 | Aver Time (ms):	0.380006	 | Aver Iters:	77.0152
Residual:	2.24305e-08	 | Aver Time (ms):	0.381054	 | Aver Iters:	78.0154
Residual:	9.36654e-09	 | Aver Time (ms):	0.398684	 | Aver Iters:	81.0156
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	9.36654e-09	 | Aver Time (ms):	0.395292	 | Aver Iters:	81
Residual:	7.17185e-09	 | Aver Time (ms):	0.398642	 | Aver Iters:	82.0162
Residual:	7.17185e-09	 | Aver Time (ms):	0.395752	 | Aver Iters:	82.0164
Residual:	4.82883e-09	 | Aver Time (ms):	0.403740	 | Aver Iters:	83.0164
Residual:	4.82883e-09	 | Aver Time (ms):	0.438176	 | Aver Iters:	83.0166
Residual:	2.83976e-09	 | Aver Time (ms):	0.458602	 | Aver Iters:	85.0166
Residual:	2.1662e-09	 | Aver Time (ms):	0.456195	 | Aver Iters:	86.017
Residual:	9.40991e-10	 | Aver Time (ms):	0.473724	 | Aver Iters:	89.0172
