NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Residual:	7.45238e-07	 | Aver Time (ms):	0.00170813	 | Aver Iters:	10
Residual:	1.54176e-07	 | Aver Time (ms):	0.00186068	 | Aver Iters:	11
Residual:	1.54176e-07	 | Aver Time (ms):	0.0018654	 | Aver Iters:	11
Residual:	1.54176e-07	 | Aver Time (ms):	0.00186061	 | Aver Iters:	11
Residual:	1.54176e-07	 | Aver Time (ms):	0.00186287	 | Aver Iters:	11
Residual:	2.77776e-08	 | Aver Time (ms):	0.00202013	 | Aver Iters:	12
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	300000	 | Solver Iters Block Size:	1
Residual:	2.77776e-08	 | Aver Time (ms):	0.00201292	 | Aver Iters:	12
Residual:	2.77776e-08	 | Aver Time (ms):	0.001991	 | Aver Iters:	12
Residual:	2.77776e-08	 | Aver Time (ms):	0.00199777	 | Aver Iters:	12
Residual:	2.77776e-08	 | Aver Time (ms):	0.00199704	 | Aver Iters:	12
Residual:	2.77776e-08	 | Aver Time (ms):	0.00199181	 | Aver Iters:	12
Residual:	2.77776e-08	 | Aver Time (ms):	0.00199532	 | Aver Iters:	12
Residual:	5.27355e-09	 | Aver Time (ms):	0.00215054	 | Aver Iters:	13
Residual:	5.27355e-09	 | Aver Time (ms):	0.0021534	 | Aver Iters:	13
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	5.27355e-09	 | Aver Time (ms):	0.00219588	 | Aver Iters:	13
Residual:	5.27355e-09	 | Aver Time (ms):	0.00214986	 | Aver Iters:	13.0001
Residual:	5.27355e-09	 | Aver Time (ms):	0.00217174	 | Aver Iters:	13.0001
Residual:	5.27355e-09	 | Aver Time (ms):	0.00214685	 | Aver Iters:	13.0001
Residual:	1.04153e-09	 | Aver Time (ms):	0.00230553	 | Aver Iters:	14.0001
Residual:	1.04153e-09	 | Aver Time (ms):	0.00230799	 | Aver Iters:	14.0001
Residual:	1.04153e-09	 | Aver Time (ms):	0.0023145	 | Aver Iters:	14.0001
Residual:	1.04153e-09	 | Aver Time (ms):	0.00232333	 | Aver Iters:	14.0001
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	1.74586e-10	 | Aver Time (ms):	0.00250409	 | Aver Iters:	15
Residual:	1.74586e-10	 | Aver Time (ms):	0.00246446	 | Aver Iters:	15.0001
Residual:	1.74586e-10	 | Aver Time (ms):	0.00248117	 | Aver Iters:	15.0002
Residual:	1.74586e-10	 | Aver Time (ms):	0.00246119	 | Aver Iters:	15.0002
Residual:	1.74586e-10	 | Aver Time (ms):	0.00246494	 | Aver Iters:	15.0002
Residual:	1.74586e-10	 | Aver Time (ms):	0.00246275	 | Aver Iters:	15.0002
Residual:	1.74586e-10	 | Aver Time (ms):	0.00247963	 | Aver Iters:	15.0002
Residual:	3.71349e-11	 | Aver Time (ms):	0.0026185	 | Aver Iters:	16.0002
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	3.71349e-11	 | Aver Time (ms):	0.00267233	 | Aver Iters:	16
Residual:	3.71349e-11	 | Aver Time (ms):	0.0026576	 | Aver Iters:	16.0002
Residual:	3.71349e-11	 | Aver Time (ms):	0.0026452	 | Aver Iters:	16.0002
Residual:	3.71349e-11	 | Aver Time (ms):	0.00263806	 | Aver Iters:	16.0002
Residual:	3.71349e-11	 | Aver Time (ms):	0.00264934	 | Aver Iters:	16.0002
Residual:	6.24512e-12	 | Aver Time (ms):	0.00282237	 | Aver Iters:	17.0002
Residual:	6.24512e-12	 | Aver Time (ms):	0.00280479	 | Aver Iters:	17.0002
Residual:	6.24512e-12	 | Aver Time (ms):	0.00280738	 | Aver Iters:	17.0002
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	6.24512e-12	 | Aver Time (ms):	0.00280368	 | Aver Iters:	17
Residual:	6.24512e-12	 | Aver Time (ms):	0.00277615	 | Aver Iters:	17.0002
Residual:	6.24512e-12	 | Aver Time (ms):	0.00278592	 | Aver Iters:	17.0002
Residual:	1.23856e-12	 | Aver Time (ms):	0.00293437	 | Aver Iters:	18.0002
Residual:	1.23856e-12	 | Aver Time (ms):	0.00293494	 | Aver Iters:	18.0002
Residual:	1.23856e-12	 | Aver Time (ms):	0.00294792	 | Aver Iters:	18.0002
Residual:	1.23856e-12	 | Aver Time (ms):	0.00293504	 | Aver Iters:	18.0002
Residual:	2.38698e-13	 | Aver Time (ms):	0.00308442	 | Aver Iters:	19.0002
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	2.38698e-13	 | Aver Time (ms):	0.00315234	 | Aver Iters:	19
Residual:	2.38698e-13	 | Aver Time (ms):	0.00310497	 | Aver Iters:	19.0002
Residual:	2.38698e-13	 | Aver Time (ms):	0.0030903	 | Aver Iters:	19.0002
Residual:	2.38698e-13	 | Aver Time (ms):	0.00308933	 | Aver Iters:	19.0002
Residual:	2.38698e-13	 | Aver Time (ms):	0.00310829	 | Aver Iters:	19.0002
Residual:	2.38698e-13	 | Aver Time (ms):	0.00308386	 | Aver Iters:	19.0002
Residual:	2.38698e-13	 | Aver Time (ms):	0.0031074	 | Aver Iters:	19.0002
Residual:	4.11893e-14	 | Aver Time (ms):	0.0032527	 | Aver Iters:	20.0002
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	4.11893e-14	 | Aver Time (ms):	0.00329001	 | Aver Iters:	20
Residual:	4.11893e-14	 | Aver Time (ms):	0.00327217	 | Aver Iters:	20.0002
Residual:	4.11893e-14	 | Aver Time (ms):	0.00327976	 | Aver Iters:	20.0002
Residual:	4.11893e-14	 | Aver Time (ms):	0.00329195	 | Aver Iters:	20.0002
Residual:	4.11893e-14	 | Aver Time (ms):	0.00328718	 | Aver Iters:	20.0002
Residual:	9.10383e-15	 | Aver Time (ms):	0.00345063	 | Aver Iters:	21.0002
Residual:	9.10383e-15	 | Aver Time (ms):	0.00345586	 | Aver Iters:	21.0002
Residual:	9.10383e-15	 | Aver Time (ms):	0.00345199	 | Aver Iters:	21.0002
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	9.10383e-15	 | Aver Time (ms):	0.00344155	 | Aver Iters:	21
Residual:	1.11022e-15	 | Aver Time (ms):	0.00356478	 | Aver Iters:	22.0002
Residual:	1.11022e-15	 | Aver Time (ms):	0.00357749	 | Aver Iters:	22.0002
Residual:	1.11022e-15	 | Aver Time (ms):	0.00356479	 | Aver Iters:	22.0002
Residual:	1.11022e-15	 | Aver Time (ms):	0.00360584	 | Aver Iters:	22.0002
Residual:	1.11022e-15	 | Aver Time (ms):	0.00357747	 | Aver Iters:	22.0002
Residual:	1.11022e-15	 | Aver Time (ms):	0.00357179	 | Aver Iters:	22.0002
Residual:	1.11022e-15	 | Aver Time (ms):	0.00356739	 | Aver Iters:	22.0002
