NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV FIXED POINT ITERATION SOLVER
Residual:	7.21839e-07	 | Aver Time (ms):	22.0762	 | Aver Iters:	1856
Residual:	7.21839e-07	 | Aver Time (ms):	21.368	 | Aver Iters:	1874.56
Residual:	7.21839e-07	 | Aver Time (ms):	21.9481	 | Aver Iters:	1874.75
Residual:	3.62511e-07	 | Aver Time (ms):	22.306	 | Aver Iters:	1938.75
Residual:	3.62511e-07	 | Aver Time (ms):	26.22	 | Aver Iters:	1939.39
Residual:	3.62511e-07	 | Aver Time (ms):	25.5114	 | Aver Iters:	1939.39
Residual:	1.83375e-07	 | Aver Time (ms):	26.5126	 | Aver Iters:	2003.39
Residual:	9.01771e-08	 | Aver Time (ms):	26.5702	 | Aver Iters:	2068.03
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	100	 | Solver Iters Block Size:	64
Residual:	9.01771e-08	 | Aver Time (ms):	24.4565	 | Aver Iters:	2048
Residual:	8.01063e-08	 | Aver Time (ms):	24.3446	 | Aver Iters:	2132.48
Residual:	6.79082e-08	 | Aver Time (ms):	26.5254	 | Aver Iters:	2261.32
Residual:	7.02213e-09	 | Aver Time (ms):	31.1006	 | Aver Iters:	2390.61
Residual:	7.02213e-09	 | Aver Time (ms):	32.4257	 | Aver Iters:	2391.91
Residual:	7.02213e-09	 | Aver Time (ms):	31.41	 | Aver Iters:	2391.92
Residual:	7.02213e-09	 | Aver Time (ms):	31.9211	 | Aver Iters:	2391.92
Residual:	7.02213e-09	 | Aver Time (ms):	31.1191	 | Aver Iters:	2391.92
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	100	 | Solver Iters Block Size:	64
Residual:	7.02213e-09	 | Aver Time (ms):	27.0889	 | Aver Iters:	2368
Residual:	7.02213e-09	 | Aver Time (ms):	26.0086	 | Aver Iters:	2391.68
Residual:	7.02213e-09	 | Aver Time (ms):	28.121	 | Aver Iters:	2391.92
Residual:	5.78845e-09	 | Aver Time (ms):	32.4277	 | Aver Iters:	2455.92
Residual:	1.2396e-09	 | Aver Time (ms):	50.3733	 | Aver Iters:	3800.56
Residual:	1.2396e-09	 | Aver Time (ms):	48.442	 | Aver Iters:	3814.01
Residual:	1.2396e-09	 | Aver Time (ms):	50.2608	 | Aver Iters:	3814.14
Residual:	7.39069e-10	 | Aver Time (ms):	95.5761	 | Aver Iters:	7462.14
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	100	 | Solver Iters Block Size:	64
Residual:	7.39069e-10	 | Aver Time (ms):	85.0189	 | Aver Iters:	7424
Residual:	7.39069e-10	 | Aver Time (ms):	93.6992	 | Aver Iters:	7498.24
Residual:	7.39069e-10	 | Aver Time (ms):	98.8999	 | Aver Iters:	7498.98
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	100	 | Solver Iters Block Size:	64
Residual:	7.39069e-10	 | Aver Time (ms):	85.1799	 | Aver Iters:	7424
Residual:	7.39069e-10	 | Aver Time (ms):	81.9892	 | Aver Iters:	7498.24
Residual:	7.39069e-10	 | Aver Time (ms):	95.2944	 | Aver Iters:	7498.98
Residual:	7.39069e-10	 | Aver Time (ms):	96.0094	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	98.1259	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	95.1309	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	97.6042	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	95.1193	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	97.6309	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	95.1408	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	97.9173	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	96.6846	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	98.7215	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	95.9083	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	98.6268	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	95.7587	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	98.4569	 | Aver Iters:	7498.99
Residual:	7.39069e-10	 | Aver Time (ms):	95.3374	 | Aver Iters:	7498.99
