NEW ENTRY OF BENCHMARK DATA OF FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	128
Residual:	6.05372e-07	 | Aver Time (ms):	1213.59	 | Aver Iters:	99392.6
Residual:	4.88179e-07	 | Aver Time (ms):	1254.33	 | Aver Iters:	100458
Residual:	3.53524e-07	 | Aver Time (ms):	1239.86	 | Aver Iters:	102047
Residual:	2.29901e-07	 | Aver Time (ms):	1298.56	 | Aver Iters:	104174
Residual:	1.14256e-07	 | Aver Time (ms):	1306.62	 | Aver Iters:	107609
NEW ENTRY OF BENCHMARK DATA OF FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	512
Residual:	9.21176e-08	 | Aver Time (ms):	1301.86	 | Aver Iters:	103424
Residual:	8.27371e-08	 | Aver Time (ms):	1320.09	 | Aver Iters:	109107
Residual:	7.42874e-08	 | Aver Time (ms):	1362.1	 | Aver Iters:	109903
Residual:	5.99119e-08	 | Aver Time (ms):	1346.25	 | Aver Iters:	110967
Residual:	4.83171e-08	 | Aver Time (ms):	1404.84	 | Aver Iters:	112044
Residual:	3.49929e-08	 | Aver Time (ms):	1387.34	 | Aver Iters:	113634
Residual:	2.2751e-08	 | Aver Time (ms):	1597.65	 | Aver Iters:	115762
Residual:	1.0734e-08	 | Aver Time (ms):	1481.07	 | Aver Iters:	119452
NEW ENTRY OF BENCHMARK DATA OF FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	1024
Residual:	8.651e-09	 | Aver Time (ms):	1403.8	 | Aver Iters:	114688
Residual:	8.651e-09	 | Aver Time (ms):	1461.73	 | Aver Iters:	120422
Residual:	6.97373e-09	 | Aver Time (ms):	1521.11	 | Aver Iters:	121733
Residual:	5.62418e-09	 | Aver Time (ms):	1489.06	 | Aver Iters:	122823
Residual:	4.5406e-09	 | Aver Time (ms):	1551.56	 | Aver Iters:	123901
Residual:	3.66922e-09	 | Aver Time (ms):	1526.1	 | Aver Iters:	124979
Residual:	2.07828e-09	 | Aver Time (ms):	1605.44	 | Aver Iters:	128105
Residual:	1.01838e-09	 | Aver Time (ms):	1584.56	 | Aver Iters:	131333
