NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	10	 | Solver Iters Block Size:	1
Residual:	6.21015e-07	 | Aver Time (ms):	1394.84	 | Aver Iters:	58457.2
Residual:	4.94948e-07	 | Aver Time (ms):	1408.65	 | Aver Iters:	59114.7
Residual:	3.68716e-07	 | Aver Time (ms):	1405.32	 | Aver Iters:	59957.5
Residual:	2.4241e-07	 | Aver Time (ms):	1459.35	 | Aver Iters:	61148.7
Residual:	1.16234e-07	 | Aver Time (ms):	1498.59	 | Aver Iters:	63207.9
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	10	 | Solver Iters Block Size:	1
Residual:	9.99787e-08	 | Aver Time (ms):	1371.85	 | Aver Iters:	57491
Residual:	8.73605e-08	 | Aver Time (ms):	1526.77	 | Aver Iters:	63596.1
Residual:	7.47477e-08	 | Aver Time (ms):	1553.8	 | Aver Iters:	64618.6
Residual:	6.21172e-08	 | Aver Time (ms):	1551.17	 | Aver Iters:	65208.9
Residual:	4.94945e-08	 | Aver Time (ms):	1575.26	 | Aver Iters:	65866.9
Residual:	3.68608e-08	 | Aver Time (ms):	1564.02	 | Aver Iters:	66710.7
Residual:	2.42418e-08	 | Aver Time (ms):	1629.02	 | Aver Iters:	67901.1
Residual:	1.16164e-08	 | Aver Time (ms):	1676.13	 | Aver Iters:	69958.1
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	10	 | Solver Iters Block Size:	1
Residual:	9.97886e-09	 | Aver Time (ms):	1601.07	 | Aver Iters:	63570
Residual:	8.73351e-09	 | Aver Time (ms):	1694.75	 | Aver Iters:	70282
Residual:	7.4708e-09	 | Aver Time (ms):	1733.88	 | Aver Iters:	71360.2
Residual:	6.2111e-09	 | Aver Time (ms):	1743.6	 | Aver Iters:	71954
Residual:	4.94576e-09	 | Aver Time (ms):	1770.41	 | Aver Iters:	72618.4
Residual:	3.68526e-09	 | Aver Time (ms):	1722.7	 | Aver Iters:	73455.8
Residual:	2.42488e-09	 | Aver Time (ms):	1857.38	 | Aver Iters:	74635.6
Residual:	1.159e-09	 | Aver Time (ms):	1855.44	 | Aver Iters:	76656.6
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	10	 | Solver Iters Block Size:	1
Residual:	9.84012e-10	 | Aver Time (ms):	1713.22	 | Aver Iters:	69601
Residual:	8.72182e-10	 | Aver Time (ms):	1839.47	 | Aver Iters:	76913.1
Residual:	7.43914e-10	 | Aver Time (ms):	1861.18	 | Aver Iters:	78051.3
Residual:	6.18301e-10	 | Aver Time (ms):	1873.27	 | Aver Iters:	78621.1
Residual:	4.92147e-10	 | Aver Time (ms):	1905.95	 | Aver Iters:	79303.1
Residual:	3.66419e-10	 | Aver Time (ms):	1886.78	 | Aver Iters:	80052.3
