NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	160000	 | Accelerator Invokations Iters Block Size:	5000	 | Accelerator Iters Block Size:	1
Residual:	1.15104e-06	 | Aver Time (ms):	1.00298	 | Aver Iters:	199.038
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	160000	 | Accelerator Invokations Iters Block Size:	5000	 | Accelerator Iters Block Size:	1
Residual:	9.93137e-07	 | Aver Time (ms):	0.950432	 | Aver Iters:	201
Residual:	8.56896e-07	 | Aver Time (ms):	0.957997	 | Aver Iters:	203.04
Residual:	7.39345e-07	 | Aver Time (ms):	0.974219	 | Aver Iters:	205.041
Residual:	5.9255e-07	 | Aver Time (ms):	1.02337	 | Aver Iters:	208.041
Residual:	4.74901e-07	 | Aver Time (ms):	1.07834	 | Aver Iters:	211.042
Residual:	3.53542e-07	 | Aver Time (ms):	1.09627	 | Aver Iters:	215.042
Residual:	2.2709e-07	 | Aver Time (ms):	1.12935	 | Aver Iters:	221.043
Residual:	1.0859e-07	 | Aver Time (ms):	1.18702	 | Aver Iters:	231.044
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	160000	 | Accelerator Invokations Iters Block Size:	5000	 | Accelerator Iters Block Size:	1
Residual:	9.36936e-08	 | Aver Time (ms):	1.10408	 | Aver Iters:	233
Residual:	8.703e-08	 | Aver Time (ms):	1.10049	 | Aver Iters:	234.047
Residual:	6.97505e-08	 | Aver Time (ms):	1.11825	 | Aver Iters:	237.047
Residual:	6.01819e-08	 | Aver Time (ms):	1.21834	 | Aver Iters:	239.047
Residual:	4.8233e-08	 | Aver Time (ms):	1.23675	 | Aver Iters:	242.048
Residual:	3.59072e-08	 | Aver Time (ms):	1.26037	 | Aver Iters:	246.048
Residual:	2.30642e-08	 | Aver Time (ms):	1.27429	 | Aver Iters:	252.049
Residual:	1.10289e-08	 | Aver Time (ms):	1.31939	 | Aver Iters:	262.05
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	160000	 | Accelerator Invokations Iters Block Size:	5000	 | Accelerator Iters Block Size:	1
Residual:	9.51591e-09	 | Aver Time (ms):	1.25856	 | Aver Iters:	264
Residual:	8.2105e-09	 | Aver Time (ms):	1.26285	 | Aver Iters:	266.053
Residual:	7.08415e-09	 | Aver Time (ms):	1.35885	 | Aver Iters:	268.053
Residual:	6.11233e-09	 | Aver Time (ms):	1.4065	 | Aver Iters:	270.054
Residual:	4.89874e-09	 | Aver Time (ms):	1.41298	 | Aver Iters:	273.054
Residual:	3.64688e-09	 | Aver Time (ms):	1.4472	 | Aver Iters:	277.055
Residual:	2.34249e-09	 | Aver Time (ms):	1.47007	 | Aver Iters:	283.055
Residual:	1.12013e-09	 | Aver Time (ms):	1.5106	 | Aver Iters:	293.057
