NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Residual:	5.83037e-07	 | Aver Time (ms):	0.0132269	 | Aver Iters:	97.0003
Residual:	4.91623e-07	 | Aver Time (ms):	0.0132942	 | Aver Iters:	98.0003
Residual:	3.49545e-07	 | Aver Time (ms):	0.0132334	 | Aver Iters:	100
Residual:	2.0956e-07	 | Aver Time (ms):	0.0137455	 | Aver Iters:	103
Residual:	1.05938e-07	 | Aver Time (ms):	0.0141343	 | Aver Iters:	107
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	300000	 | Solver Iters Block Size:	1
Residual:	8.93277e-08	 | Aver Time (ms):	0.0123103	 | Aver Iters:	108
Residual:	7.53219e-08	 | Aver Time (ms):	0.0137554	 | Aver Iters:	109
Residual:	6.35122e-08	 | Aver Time (ms):	0.0150306	 | Aver Iters:	110
Residual:	5.3554e-08	 | Aver Time (ms):	0.0154195	 | Aver Iters:	111
Residual:	4.51573e-08	 | Aver Time (ms):	0.0150047	 | Aver Iters:	112
Residual:	3.21069e-08	 | Aver Time (ms):	0.0152433	 | Aver Iters:	114
Residual:	2.28281e-08	 | Aver Time (ms):	0.0156106	 | Aver Iters:	116
Residual:	1.15401e-08	 | Aver Time (ms):	0.0161452	 | Aver Iters:	120
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	9.73075e-09	 | Aver Time (ms):	0.0140038	 | Aver Iters:	121
Residual:	8.20506e-09	 | Aver Time (ms):	0.0140716	 | Aver Iters:	122.001
Residual:	6.91858e-09	 | Aver Time (ms):	0.0141588	 | Aver Iters:	123.001
Residual:	5.83382e-09	 | Aver Time (ms):	0.0143182	 | Aver Iters:	124.001
Residual:	4.91913e-09	 | Aver Time (ms):	0.0143511	 | Aver Iters:	125.001
Residual:	3.49751e-09	 | Aver Time (ms):	0.0145631	 | Aver Iters:	127.001
Residual:	2.09684e-09	 | Aver Time (ms):	0.0150675	 | Aver Iters:	130.001
Residual:	1.06e-09	 | Aver Time (ms):	0.0167425	 | Aver Iters:	134.001
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	8.93803e-10	 | Aver Time (ms):	0.0152784	 | Aver Iters:	135
Residual:	7.53664e-10	 | Aver Time (ms):	0.0153459	 | Aver Iters:	136.001
Residual:	6.35496e-10	 | Aver Time (ms):	0.0154114	 | Aver Iters:	137.001
Residual:	5.35856e-10	 | Aver Time (ms):	0.0156374	 | Aver Iters:	138.001
Residual:	4.51839e-10	 | Aver Time (ms):	0.0157357	 | Aver Iters:	139.001
Residual:	3.21259e-10	 | Aver Time (ms):	0.0159699	 | Aver Iters:	141.001
Residual:	2.28416e-10	 | Aver Time (ms):	0.0161823	 | Aver Iters:	143.001
Residual:	1.1547e-10	 | Aver Time (ms):	0.0196997	 | Aver Iters:	147.001
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	9.73647e-11	 | Aver Time (ms):	0.0166911	 | Aver Iters:	148
Residual:	8.20983e-11	 | Aver Time (ms):	0.0168331	 | Aver Iters:	149.001
