NEW ENTRY OF BENCHMARK DATA OF STEEPEST GRADIENT DESCENT SOLVER
Residual:	7.38287e-07	 | Aver Time (ms):	5.42354	 | Aver Iters:	1308.26
Residual:	6.16843e-07	 | Aver Time (ms):	5.59063	 | Aver Iters:	1324.26
Residual:	4.92733e-07	 | Aver Time (ms):	5.5738	 | Aver Iters:	1344.26
Residual:	3.67942e-07	 | Aver Time (ms):	5.94798	 | Aver Iters:	1370.27
Residual:	2.40109e-07	 | Aver Time (ms):	5.86198	 | Aver Iters:	1408.27
Residual:	1.14406e-07	 | Aver Time (ms):	6.35455	 | Aver Iters:	1474.28
NEW ENTRY OF BENCHMARK DATA OF STEEPEST GRADIENT DESCENT SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	9.99798e-08	 | Aver Time (ms):	6.02632	 | Aver Iters:	1486
Residual:	8.73725e-08	 | Aver Time (ms):	6.48085	 | Aver Iters:	1498.3
Residual:	7.46587e-08	 | Aver Time (ms):	6.39499	 | Aver Iters:	1512.3
Residual:	6.20309e-08	 | Aver Time (ms):	6.58557	 | Aver Iters:	1529.3
Residual:	4.87203e-08	 | Aver Time (ms):	6.53647	 | Aver Iters:	1550.31
Residual:	3.63813e-08	 | Aver Time (ms):	6.98411	 | Aver Iters:	1576.31
Residual:	2.41458e-08	 | Aver Time (ms):	6.7293	 | Aver Iters:	1613.32
Residual:	1.15693e-08	 | Aver Time (ms):	7.31494	 | Aver Iters:	1678.32
NEW ENTRY OF BENCHMARK DATA OF STEEPEST GRADIENT DESCENT SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	9.88579e-09	 | Aver Time (ms):	6.9079	 | Aver Iters:	1692
Residual:	8.63919e-09	 | Aver Time (ms):	7.37996	 | Aver Iters:	1704.34
Residual:	7.38209e-09	 | Aver Time (ms):	7.16936	 | Aver Iters:	1718.34
Residual:	6.16778e-09	 | Aver Time (ms):	7.33954	 | Aver Iters:	1734.34
Residual:	4.92681e-09	 | Aver Time (ms):	7.2877	 | Aver Iters:	1754.35
Residual:	3.67903e-09	 | Aver Time (ms):	7.71713	 | Aver Iters:	1780.35
Residual:	2.40084e-09	 | Aver Time (ms):	7.59653	 | Aver Iters:	1818.36
Residual:	1.14394e-09	 | Aver Time (ms):	8.22997	 | Aver Iters:	1884.36
