NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Residual:	4.10911e-07	 | Aver Time (ms):	696.814	 | Aver Iters:	56534.2
Residual:	3.38472e-07	 | Aver Time (ms):	696.628	 | Aver Iters:	57098.7
Residual:	2.29623e-07	 | Aver Time (ms):	710.895	 | Aver Iters:	58150.9
Residual:	1.05683e-07	 | Aver Time (ms):	746.088	 | Aver Iters:	60251.5
NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	512
Residual:	8.70735e-08	 | Aver Time (ms):	699.452	 | Aver Iters:	57856
Residual:	8.70735e-08	 | Aver Time (ms):	751.17	 | Aver Iters:	60748.8
Residual:	7.1718e-08	 | Aver Time (ms):	761.002	 | Aver Iters:	61405.4
Residual:	5.90693e-08	 | Aver Time (ms):	772.681	 | Aver Iters:	61950.3
Residual:	4.86495e-08	 | Aver Time (ms):	777.824	 | Aver Iters:	62489.5
Residual:	3.30009e-08	 | Aver Time (ms):	789.639	 | Aver Iters:	63540.5
Residual:	2.23835e-08	 | Aver Time (ms):	795.429	 | Aver Iters:	64617
Residual:	1.03064e-08	 | Aver Time (ms):	829.24	 | Aver Iters:	66718.9
NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	512
Residual:	8.49156e-09	 | Aver Time (ms):	787.815	 | Aver Iters:	64000
Residual:	8.49156e-09	 | Aver Time (ms):	844.342	 | Aver Iters:	67200
Residual:	6.98769e-09	 | Aver Time (ms):	846.863	 | Aver Iters:	67872
Residual:	5.75436e-09	 | Aver Time (ms):	863.287	 | Aver Iters:	68417.6
Residual:	4.73826e-09	 | Aver Time (ms):	871.659	 | Aver Iters:	68956.9
Residual:	3.21268e-09	 | Aver Time (ms):	884.353	 | Aver Iters:	70007.8
Residual:	2.18907e-09	 | Aver Time (ms):	896.903	 | Aver Iters:	71084.4
Residual:	9.95895e-10	 | Aver Time (ms):	924.681	 | Aver Iters:	73186.2
NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	1024
Residual:	9.95895e-10	 | Aver Time (ms):	841.906	 | Aver Iters:	69632
Residual:	6.71109e-10	 | Aver Time (ms):	922.916	 | Aver Iters:	74137.6
Residual:	6.71109e-10	 | Aver Time (ms):	918.462	 | Aver Iters:	74362.9
Residual:	4.63514e-10	 | Aver Time (ms):	931.587	 | Aver Iters:	75398.1
Residual:	4.63514e-10	 | Aver Time (ms):	930.661	 | Aver Iters:	75449.9
Residual:	3.29572e-10	 | Aver Time (ms):	937.289	 | Aver Iters:	76476.5
Residual:	2.40309e-10	 | Aver Time (ms):	957.468	 | Aver Iters:	77551.8
