NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Residual:	3.53533e-07	 | Aver Time (ms):	1220.28	 | Aver Iters:	112101
Residual:	3.53533e-07	 | Aver Time (ms):	1209.01	 | Aver Iters:	112101
Residual:	7.48976e-08	 | Aver Time (ms):	1314.52	 | Aver Iters:	120293
Residual:	7.48976e-08	 | Aver Time (ms):	1310.93	 | Aver Iters:	120703
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	8192
Residual:	7.48976e-08	 | Aver Time (ms):	1240.12	 | Aver Iters:	114688
Residual:	7.48976e-08	 | Aver Time (ms):	1310.57	 | Aver Iters:	120422
Residual:	1.58949e-08	 | Aver Time (ms):	1409.35	 | Aver Iters:	128901
Residual:	1.58949e-08	 | Aver Time (ms):	1406.16	 | Aver Iters:	129325
Residual:	1.58949e-08	 | Aver Time (ms):	1408.7	 | Aver Iters:	129346
Residual:	1.58949e-08	 | Aver Time (ms):	1402.54	 | Aver Iters:	129347
Residual:	1.58949e-08	 | Aver Time (ms):	1413.54	 | Aver Iters:	129347
Residual:	3.37605e-09	 | Aver Time (ms):	1499.3	 | Aver Iters:	137539
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	8192
Residual:	3.37605e-09	 | Aver Time (ms):	1425.28	 | Aver Iters:	131072
Residual:	3.37605e-09	 | Aver Time (ms):	1495.01	 | Aver Iters:	137626
Residual:	3.37605e-09	 | Aver Time (ms):	1503	 | Aver Iters:	137953
Residual:	3.37605e-09	 | Aver Time (ms):	1498.76	 | Aver Iters:	137970
Residual:	3.37605e-09	 | Aver Time (ms):	1503.43	 | Aver Iters:	137970
Residual:	3.37605e-09	 | Aver Time (ms):	1490.22	 | Aver Iters:	137971
Residual:	7.70369e-10	 | Aver Time (ms):	1595.28	 | Aver Iters:	146163
Residual:	7.70369e-10	 | Aver Time (ms):	1593.7	 | Aver Iters:	146572
