NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	1.16018e-06	 | Aver Time (ms):	191.891	 | Aver Iters:	6979.31
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	9.98884e-07	 | Aver Time (ms):	169.429	 | Aver Iters:	6898
Residual:	8.72301e-07	 | Aver Time (ms):	196.497	 | Aver Iters:	7083.96
Residual:	7.46776e-07	 | Aver Time (ms):	193.602	 | Aver Iters:	7142.68
Residual:	6.19791e-07	 | Aver Time (ms):	195.207	 | Aver Iters:	7209.85
Residual:	4.94492e-07	 | Aver Time (ms):	198.307	 | Aver Iters:	7291.2
Residual:	3.68638e-07	 | Aver Time (ms):	200.225	 | Aver Iters:	7396.82
Residual:	2.41991e-07	 | Aver Time (ms):	205.813	 | Aver Iters:	7547.94
Residual:	1.16097e-07	 | Aver Time (ms):	213.079	 | Aver Iters:	7810.96
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	9.99411e-08	 | Aver Time (ms):	201.465	 | Aver Iters:	7713
Residual:	8.72573e-08	 | Aver Time (ms):	230.68	 | Aver Iters:	7915.26
Residual:	7.46971e-08	 | Aver Time (ms):	223.119	 | Aver Iters:	7974.31
Residual:	6.19872e-08	 | Aver Time (ms):	224.019	 | Aver Iters:	8041.49
Residual:	4.94366e-08	 | Aver Time (ms):	224.093	 | Aver Iters:	8122.83
Residual:	3.68222e-08	 | Aver Time (ms):	227.566	 | Aver Iters:	8228.46
Residual:	2.42069e-08	 | Aver Time (ms):	231.481	 | Aver Iters:	8378.57
Residual:	1.15978e-08	 | Aver Time (ms):	236.755	 | Aver Iters:	8640.57
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	9.97362e-09	 | Aver Time (ms):	205.389	 | Aver Iters:	8526
Residual:	8.71123e-09	 | Aver Time (ms):	243.736	 | Aver Iters:	8743.52
Residual:	7.45543e-09	 | Aver Time (ms):	240.523	 | Aver Iters:	8802.87
Residual:	6.197e-09	 | Aver Time (ms):	242.195	 | Aver Iters:	8868.06
Residual:	4.92631e-09	 | Aver Time (ms):	243.936	 | Aver Iters:	8950.36
Residual:	3.68152e-09	 | Aver Time (ms):	249.897	 | Aver Iters:	9052.01
Residual:	2.4012e-09	 | Aver Time (ms):	251.749	 | Aver Iters:	9198.04
Residual:	1.14945e-09	 | Aver Time (ms):	258.401	 | Aver Iters:	9447.96
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	9.95623e-10	 | Aver Time (ms):	240.899	 | Aver Iters:	9308
Residual:	8.70691e-10	 | Aver Time (ms):	268.632	 | Aver Iters:	9540.16
Residual:	7.38586e-10	 | Aver Time (ms):	263.438	 | Aver Iters:	9615.8
Residual:	6.08257e-10	 | Aver Time (ms):	269.079	 | Aver Iters:	9686.32
Residual:	4.91632e-10	 | Aver Time (ms):	270.599	 | Aver Iters:	9789.73
